# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	3171	5822	+	NP_041960.1			RNA polymerase		1261050	T7p07	2652	883	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	5888	6448	+						1261049	T7p08	561		
mRNA		GCF_000844825.1	Primary Assembly	segment		NC_001604.1	5888	6448	+			NP_041962.1	1.1 mRNA		1261049	T7p08	561		
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6007	6135	+						1261072	T7p09	129		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6007	6135	+	NP_041961.1			hypothetical protein		1261072	T7p09	129	42	
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6137	6394	+	NP_041962.1			dGTPase inhibitor; target for F exclusion		1261049	T7p08	258	85	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6449	7588	+						1261055	T7p10	1140		
mRNA		GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6449	7588	+			NP_041963.1	1.3 mRNA		1261055	T7p10	1140		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	6475	7554	+	NP_041963.1			DNA ligase		1261055	T7p10	1080	359	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7608	7763	+						1261075	T7p11	156		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7608	7763	+	NP_041964.1			hypothetical protein		1261075	T7p11	156	51	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7791	7880	+						1261074	T7p12	90		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7791	7880	+	NP_041965.1			hypothetical protein		1261074	T7p12	90	29	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7906	8166	+						1261076	T7p13	261		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	7906	8166	+	NP_041966.1			hypothetical protein		1261076	T7p13	261	86	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8166	8756	+						1261060	T7p14	591		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8166	8756	+	NP_041967.1			nucleotide kinase		1261060	T7p14	591	196	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8749	8895	+						1261054	T7p15	147		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8749	8895	+	NP_041968.1			hypothetical protein		1261054	T7p15	147	48	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8898	9092	+						1261073	T7p16	195		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	8898	9092	+	NP_041969.1			RNA polymerase inhibitor		1261073	T7p16	195	64	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	9158	9856	+						1261080	T7p17	699		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	9158	9856	+	NP_041970.1			Gp2.5-like ssDNA binding protein and ssDNA annealing protein		1261080	T7p17	699	232	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	9857	10276	+						1261078	T7p18	420		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	9857	10276	+	NP_041971.1			endonuclease		1261078	T7p18	420	139	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	10257	10706	+						1261079	T7p19	450		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	10257	10706	+	NP_041972.1			endonuclease		1261079	T7p19	450	149	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	10706	11161	+						1261077	T7p20	456		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	10706	11161	+	NP_041973.1			amidase		1261077	T7p20	456	151	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11225	11590	+						1261065	T7p21	366		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11225	11590	+	NP_041974.1			HNH endonuclease		1261065	T7p21	366	121	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11565	13265	+						1261046	T7p22	1701		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11565	13265	+	NP_041975.1			DNA primase/helicase		1261046	T7p22	1701	566	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11635	11757	+						1261047	T7p23	123		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11635	11757	+	NP_041976.1			hypothetical protein		1261047	T7p23	123	40	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11754	13265	+						1261048	T7p24	1512		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	11754	13265	+	NP_041977.1			DNA primase/helicase		1261048	T7p24	1512	503	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	12988	13326	+						1261021	T7p25	339		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	12988	13326	+	NP_041978.1			hypothetical protein		1261021	T7p25	339	112	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13352	13564	+						1261069	T7p26	213		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13352	13564	+	NP_041979.1			hypothetical protein		1261069	T7p26	213	70	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13584	13853	+						1261059	T7p27	270		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13584	13853	+	NP_041980.1			hypothetical protein		1261059	T7p27	270	89	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13927	14334	+						1261043	T7p28	408		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	13927	14334	+	NP_041981.1			hypothetical protein		1261043	T7p28	408	135	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	14353	16467	+						1261044	T7p29	2115		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	14353	16467	+	NP_041982.1			DNA polymerase I		1261044	T7p29	2115	704	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16483	16839	+						1261045	T7p30	357		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16483	16839	+	NP_041983.1			hypothetical protein		1261045	T7p30	357	118	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16851	17359	+						1261041	T7p31	509		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16851	17359	+	NP_041984.1			hypothetical protein		1261041	T7p31	510	169	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16851	17150	+						1261038	T7p32	300		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	16851	17150	+	NP_041985.1			DUF2675 domain-containing protein		1261038	T7p32	300	99	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17150	17359	+						1261040	T7p33	210		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17150	17359	+	NP_041986.1			hypothetical protein		1261040	T7p33	210	69	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17359	17517	+						1261037	T7p34	159		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17359	17517	+	NP_041987.1			Gp5.9-like inihibitor of recBCD nuclease		1261037	T7p34	159	52	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17504	18406	+						1261052	T7p35	903		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	17504	18406	+	NP_041988.1			exonuclease		1261052	T7p35	903	300	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18394	18507	+						1261058	T7p36	114		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18394	18507	+	NP_041989.1			DUF5516 domain-containing protein		1261058	T7p36	114	37	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18605	18859	+						1261036	T7p37	255		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18605	18859	+	NP_041990.1			DUF2717 domain-containing protein		1261036	T7p37	255	84	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18864	19130	+						1261039	T7p38	267		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	18864	19130	+	NP_041991.1			DUF5476 family protein		1261039	T7p38	267	88	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19130	19531	+						1261056	T7p39	402		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19130	19531	+	NP_041992.1			host range and adsorption protein		1261056	T7p39	402	133	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19535	19834	+						1261035	T7p40	300		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19535	19834	+	NP_041993.1			host range and adsorption protein		1261035	T7p40	300	99	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19848	20240	+						1261028	T7p41	393		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	19848	20240	+	NP_041994.1			HNH endonuclease		1261028	T7p41	393	130	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	20240	21850	+						1261033	T7p42	1611		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	20240	21850	+	NP_041995.1			head-tail adaptor		1261033	T7p42	1611	536	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	21950	22873	+						1261027	T7p43	924		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	21950	22873	+	NP_041996.1			head assembly		1261027	T7p43	924	307	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	22967	24162	+						1261029	T7p44	1196		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	22967	24162	+	NP_041997.1			major head protein		1261029	T7p44	1197	398	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	22967	24004	+						1261026	T7p45	1038		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	22967	24004	+	NP_041998.1			major head protein		1261026	T7p45	1038	345	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	24228	24818	+						1261030	T7p46	591		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	24228	24818	+	NP_041999.1			tail protein		1261030	T7p46	591	196	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	24842	27226	+						1261024	T7p47	2385		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	24842	27226	+	NP_042000.1			tail protein		1261024	T7p47	2385	794	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	27307	27723	+						1261025	T7p48	417		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	27307	27723	+	NP_042001.1			internal virion protein		1261025	T7p48	417	138	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	27728	28318	+						1261032	T7p49	591		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	27728	28318	+	NP_042002.1			internal virion protein		1261032	T7p49	591	196	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	28325	30568	+						1261034	T7p50	2244		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	28325	30568	+	NP_042003.1			internal virion protein		1261034	T7p50	2244	747	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	30595	34551	+						1261031	T7p51	3957		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	30595	34551	+	NP_042004.1			internal virion protein with endolysin domain		1261031	T7p51	3957	1318	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	34624	36285	+						1261023	T7p52	1662		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	34624	36285	+	NP_042005.1			tail fiber protein		1261023	T7p52	1662	553	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36344	36547	+						1261022	T7p53	204		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36344	36547	+	NP_042006.1			holin		1261022	T7p53	204	67	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36553	36822	+						1261042	T7p54	270		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36553	36822	+	NP_042007.1			terminase small subunit		1261042	T7p54	270	89	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36917	37348	+						1261067	T7p55	432		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	36917	37348	+	NP_042008.1			Rz-like spanin		1261067	T7p55	432	143	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	37032	37283	+						1261057	T7p56	252		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	37032	37283	+	NP_042009.1			Rz-like spanin		1261057	T7p56	252	83	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	37370	39130	+						1261062	T7p57	1761		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	37370	39130	+	NP_042010.1			terminase large subunit		1261062	T7p57	1761	586	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	38016	38273	+						1261064	T7p58	258		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	38016	38273	+	NP_042011.1			hypothetical protein		1261064	T7p58	258	85	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	38553	38726	+						1261066	T7p59	174		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	38553	38726	+	NP_042012.1			hypothetical protein		1261066	T7p59	174	57	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	39389	39538	+						1261068	T7p60	150		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	39389	39538	+	NP_042013.1			hypothetical protein		1261068	T7p60	150	49	
